actual_comm	confered_to	avg_prob
24	19	 0.0091
24	20	 0.0114
24	21	 0.0202
24	22	 0.0131
24	23	 0.0167
24	24	 0.0954
24	25	 0.0100
24	26	 0.0224
24	27	 0.0278
24	28	 0.0073
24	29	 0.0259
24	30	 0.0103
24	31	 0.0090
24	32	 0.0568
24	33	 0.0110
24	34	 0.0139
24	35	 0.0085
24	36	 0.0158
24	37	 0.0169
24	38	 0.0337
24	39	 0.0099
24	40	 0.0188
24	41	 0.0059
24	42	 0.0403
24	43	 0.0279
24	44	 0.0485
24	45	 0.0082
25	0	 0.0043
25	1	 0.0048
25	2	 0.0031
25	3	 0.0088
25	4	 0.0068
25	5	 0.0070
25	6	 0.0113
25	7	 0.0084
25	8	 0.0183
25	9	 0.0124
25	10	 0.0146
25	11	 0.0114
25	12	 0.0180
25	13	 0.0098
25	14	 0.0077
25	15	 0.0094
25	16	 0.0086
25	17	 0.0090
25	18	 0.0055
25	19	 0.0135
25	20	 0.0078
25	21	 0.0062
25	22	 0.0037
25	23	 0.0053
25	24	 0.0098
25	25	 0.6074
25	26	 0.0082
25	27	 0.0132
25	28	 0.0033
25	29	 0.0094
25	30	 0.0133
25	31	 0.0106
25	32	 0.0112
25	33	 0.0076
25	34	 0.0130
25	35	 0.0046
25	36	 0.0081
25	37	 0.0031
25	38	 0.0056
25	39	 0.0038
25	40	 0.0085
25	41	 0.0080
25	42	 0.0142
25	43	 0.0073
25	44	 0.0103
25	45	 0.0036
26	0	 0.0254
26	1	 0.0235
26	2	 0.0158
26	3	 0.0120
26	4	 0.0165
26	5	 0.0055
26	6	 0.0156
26	7	 0.0229
26	8	 0.0083
26	9	 0.0080
26	10	 0.0248
26	11	 0.0110
26	12	 0.0091
26	13	 0.0185
26	14	 0.0215
26	15	 0.0105
26	16	 0.0109
26	17	 0.0079
26	18	 0.0294
26	19	 0.0070
26	20	 0.0073
26	21	 0.0116
26	22	 0.0247
26	23	 0.0079
26	24	 0.0232
26	25	 0.0084
26	26	 0.3199
26	27	 0.0256
26	28	 0.0113
26	29	 0.0188
26	30	 0.0063
26	31	 0.0077
26	32	 0.0258
26	33	 0.0096
26	34	 0.0100
26	35	 0.0072
26	36	 0.0084
26	37	 0.0236
26	38	 0.0147
26	39	 0.0278
26	40	 0.0095
26	41	 0.0058
26	42	 0.0298
26	43	 0.0181
26	44	 0.0230
26	45	 0.0102
27	0	 0.0228
27	1	 0.0240
27	2	 0.0117
27	3	 0.0128
27	4	 0.0269
27	5	 0.0052
27	6	 0.0226
27	7	 0.0174
27	8	 0.0097
27	9	 0.0108
27	10	 0.0403
27	11	 0.0100
27	12	 0.0178
27	13	 0.0269
27	14	 0.0407
27	15	 0.0127
27	16	 0.0127
27	17	 0.0068
27	18	 0.0388
27	19	 0.0089
27	20	 0.0115
27	21	 0.0188
27	22	 0.0138
27	23	 0.0245
27	24	 0.0308
27	25	 0.0144
27	26	 0.0319
27	27	 0.1160
27	28	 0.0088
27	29	 0.0331
27	30	 0.0074
27	31	 0.0107
27	32	 0.0248
27	33	 0.0158
27	34	 0.0171
27	35	 0.0141
27	36	 0.0074
27	37	 0.0118
27	38	 0.0087
27	39	 0.0114
27	40	 0.0092
27	41	 0.0172
27	42	 0.0682
27	43	 0.0348
27	44	 0.0431
27	45	 0.0153
28	0	 0.0126
28	1	 0.0292
28	2	 0.0327
28	3	 0.0042
28	4	 0.0062
28	5	 0.0040
28	6	 0.0133
28	7	 0.0096
28	8	 0.0071
28	9	 0.0040
28	10	 0.0063
28	11	 0.0042
28	12	 0.0044
28	13	 0.0058
28	14	 0.0136
28	15	 0.0054
28	16	 0.0040
28	17	 0.0038
28	18	 0.0168
28	19	 0.0043
28	20	 0.0084
28	21	 0.0093
28	22	 0.0192
28	23	 0.0049
28	24	 0.0078
28	25	 0.0044
28	26	 0.0084
28	27	 0.0097
28	28	 0.5247
28	29	 0.0113
28	30	 0.0038
28	31	 0.0051
28	32	 0.0091
28	33	 0.0055
28	34	 0.0053
28	35	 0.0086
28	36	 0.0031
28	37	 0.0097
28	38	 0.0152
28	39	 0.0094
28	40	 0.0594
28	41	 0.0040
28	42	 0.0075
28	43	 0.0093
28	44	 0.0083
28	45	 0.0368
29	0	 0.0113
29	1	 0.0205
29	2	 0.0137
29	3	 0.0172
29	4	 0.0185
29	5	 0.0053
29	6	 0.0294
29	7	 0.0094
29	8	 0.0084
29	9	 0.0110
29	10	 0.0330
29	11	 0.0128
29	12	 0.0096
29	13	 0.0127
29	14	 0.0255
29	15	 0.0130
29	16	 0.0137
29	17	 0.0117
29	18	 0.0134
29	19	 0.0088
29	20	 0.0100
29	21	 0.0255
29	22	 0.0233
29	23	 0.0109
29	24	 0.0249
29	25	 0.0107
29	26	 0.0174
29	27	 0.0268
29	28	 0.0119
29	29	 0.2968
29	30	 0.0072
29	31	 0.0083
29	32	 0.0233
29	33	 0.0083
29	34	 0.0125
29	35	 0.0078
29	36	 0.0090
29	37	 0.0083
29	38	 0.0127
29	39	 0.0127
29	40	 0.0180
29	41	 0.0059
29	42	 0.0290
29	43	 0.0230
29	44	 0.0268
29	45	 0.0303
30	0	 0.0058
30	1	 0.0056
30	2	 0.0034
30	3	 0.0114
30	4	 0.0069
30	5	 0.0101
30	6	 0.0073
30	7	 0.0100
30	8	 0.0226
30	9	 0.0527
30	10	 0.0109
